,class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
10,pos,1381894,na,na,na,0,0,0,75826,2248574,15354700,35283396,34988924,12274280,4801460,1303304,87122,47342178,25420,51450,na,3850908,5330748,87350422,79469810,20703792,10869298,30,0,84280,0,39244,3736,0,0,0,0,0,0,0,18889518,87426930,101138,96458,83850,163518,569192,44158244,61344626,908,790,0,0,26803820,30955926,11120276,8814758,6716734,5213056,4937856,7866018,3249440,739702,111900348,39326,78724,62146,96,47342178,1393676,8701566,11986438,195260,208740,259620,288320,312700,235740,251320,246860,113520,1381894.25,111900348,111900348,111901296,831016,349242,na,588780,106417586,1209600,2214042,na,na,na,75007210.56,21624710.4,9747388.8,4568,12216,119936,3959094,16313372,36694826,31922448,16098242,1217506,79440,12596,126,na,7388,111900348,na,25452,6828,9927020,4036068,38847294,53421066,153858,0,0,0,4514,27134,42596648,15095438,282,255668,0,0,50198576,72296,1670,na,na,na,na,na,na,na,na,774782,623660,160414,2662371826,30418516,3224778,567594,21507200,4322026,18776358,195492,0,0,na,11877.84,13184,31762888,13133350,10213626,4414672,9734808,9392668,12838604,14259478,667426,66,0,0
11,pos,1134216,na,24,na,0,0,0,0,0,0,16488,1686686,1296034,204228,57970,0,31280930,0,0,0,1924994,2779788,53818552,49568202,10789032,4938742,0,0,4014,0,100,14,0,0,0,0,0,13484,70934,290430,2886558,0,2094,1714,2754,6792,147634,3100418,0,0,0,0,923702,1356082,549540,170428,87074,66100,61002,34576,11784,1118,66541322,170,1902,1738,0,31280930,800234,5128688,5629758,391640,439540,329540,265960,222660,186580,299040,204900,358180,1134216.48,66541322,66541322,3546054,18541,63794,43494,1112400,3261406,1209600,0,na,na,na,53070751.68,0.0,10384482.24,0,38,0,0,0,572004,1648996,854422,174740,9698,1518,28,na,0,66541322,na,2496,420,251478,278708,672102,2054452,1750,0,0,0,na,na,na,na,na,na,na,na,na,1750,284,0,0,0,0,0,0,0,0,438078,9092,2160,5147172,878446,73064,11638,5808500,670714,3438556,3878,0,0,0,798.22,1114,499100,331248,128118,68478,176414,362990,400526,1260514,34014,4,0,0
12,pos,1586896,na,na,na,na,na,0,0,0,18800,543398,1585250,476476,44672,1980,0,44908884,44478,0,na,3695694,5100132,80233166,74774626,30438590,7072836,na,0,1020,0,na,na,0,0,0,0,0,36454,143172,2231232,259718,0,10958,11018,23452,60212,2110500,454436,0,0,0,0,555196,715812,647514,332678,147088,93342,138412,40530,4,0,114376776,na,na,na,na,44908884,1108350,20076152,10313944,692240,624760,590040,581720,343980,446140,485520,481580,316760,1586895.57,114376776,114376776,3327680,18125,na,na,534960,2670576,1209600,na,na,na,na,74354522.88,0.0,19083554.88,256,1072,0,0,126232,1092442,1094850,326282,25874,4212,672,12,na,na,114376776,na,2860,454,139516,172644,835546,1519528,28,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,656538,na,na,na,na,na,na,na,na,na,na,na,na,na,936.32,1232,464448,228694,104890,52014,111298,134116,297018,1229120,48948,30,na,na
13,pos,976574,0,34,32,0,0,0,0,0,0,102372,586962,307966,161628,51470,5380,36620254,30334,0,0,2465976,3603540,62307016,54094396,16445064,9810286,0,0,7816,0,104,0,0,0,0,0,0,0,0,6822,1208956,0,2856,2522,3790,6042,69098,1127448,4022,0,0,0,490052,341536,84296,58340,45028,38702,33304,38534,48156,37830,81220752,120,276,154,2,36620254,1457424,5720242,10705810,250900,260180,239180,247040,240800,257240,227460,218380,34980,976574.48,81220752,81220752,1272382,8448,16516,96396,123320,1216014,1209600,28774,0,8,0,55021911.36,15030506.88,9545781.12,154,290,0,0,4508,143712,531266,448750,80302,6514,654,72,40,86,81220752,0,528,70,106990,84748,409890,604856,8692,4,0,0,22,0,379836,73972,0,64,0,0,824446,1078,194,0,0,60,239082,0,0,0,0,805902,10418,2096,3665874,503102,40932,7484,1210460,209254,1144336,10542,0,0,0,248.56,202,407610,178650,158556,40750,88334,134234,125054,81524,1066,0,0,0
14,pos,765918,na,0,na,0,0,0,0,0,60078,1905206,15431840,24898940,5449348,80592,778,23406316,24596,1302486,1946938,51272,94132,37377634,25644662,13420062,9277980,0,0,4222,0,0,0,0,0,0,0,0,3809612,22958802,18535496,2522872,0,39296,15324,26162,71278,26941726,20723630,9262,80,22,2,15540150,7259564,3250044,2853542,2774890,3450428,5344114,5925990,1366684,61376,50858456,4608,4842,3526,8308,23406316,989524,7154486,6230008,306280,305200,361900,331680,369700,445940,517800,561160,304820,765918.81,50858456,50858456,49861694,386353,6261498,68068,1153620,47826782,1209600,0,na,na,na,45151888.32,0.0,2619124.8,0,0,0,6312,383152,6571046,21219388,17638172,1783848,175840,47046,1978,na,0,50858456,na,46878,8886,1684746,1771504,11205730,30982596,2090214,36220,8,0,na,na,na,na,na,na,na,na,na,32626,542,0,0,0,0,0,0,0,0,749110,853282,146280,0,0,1845512,238210,47138180,12775566,0,0,0,0,574080970,20690.4,24352,2830074,10135156,8475468,4079966,7659870,5784644,4119502,2077716,2550794,113592,0,0
15,pos,133714,na,0,na,0,0,0,0,0,6,197850,5128174,9443334,4040410,256934,526,9207098,33016,0,0,0,0,14532082,9617502,9078124,3818588,0,0,0,0,0,0,0,0,0,0,0,0,189968,18875524,1742,0,59890,36170,43088,119422,14595794,4212814,52,4,0,0,7149262,3811252,1359266,934588,840372,905878,1164512,1800628,1012506,88970,23619170,0,878,678,1132,9207098,472222,4770254,4285086,409780,397200,505600,489860,459260,487060,461460,467680,252600,133714.85,23619170,23619170,22911640,120484,2291956,110780,550960,19067234,1209600,0,na,na,na,14579448.96,0.0,4433443.2,na,na,0,0,3866,804752,5722620,8146496,3756216,562366,69416,1502,na,632,23619170,na,47990,14062,3892140,2093728,6734346,6200358,83682,928,0,0,na,na,na,na,na,na,na,na,na,40660,1310,0,0,0,0,0,0,0,0,369074,85936,24182,0,0,645796,86280,39760000,7282152,0,0,0,0,132706990,na,na,4604576,9568076,2631806,698040,1142032,404088,14444,2566,1606,0,0,0
16,pos,975026,4,3392,na,662,2648,0,732,380274,1828136,10621162,12141184,3456906,380826,53888,6978,26204712,0,192,na,7286152,12517768,48670592,51219492,33088992,3370816,120,0,0,0,11704,3812,0,0,0,0,0,29290,4450738,15903424,8486634,0,100324,47602,51342,74568,334258,26141426,894394,1226172,0,0,10745108,8055664,3155016,1660918,1089998,801814,648830,550946,370890,1790902,89041442,69700,18528,50456,282,26204712,577632,28031890,5045648,538100,559820,603020,614900,623980,559900,570580,591420,338180,975025.84,89041442,89041442,45188024,149202,12478,na,710200,28858812,1209600,1489216,na,na,na,52612735.68,1253366.4,3998784.96,8166,13146,154128,368314,1759840,3839098,8143074,6210548,4375746,2393570,963282,662486,na,5770,89041442,0,51150,6482,1477938,1013978,893190,22258222,3103142,65914,70,0,3048,26948,47092088,21700026,356,773562,0,0,48003172,68340,1774,na,na,na,na,na,na,na,na,409884,283558,62604,97417230,12277284,2064390,270124,1865960,239864,82424048,906552,0,0,na,na,15042,2550544,3653736,4170456,3084186,3753066,2081086,7218390,2357488,1134,0,0,0
17,pos,408322,0,na,774,na,na,0,7762,215530,1254204,6017664,2820268,1046086,469410,298050,188792,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,3433848,8763956,119962,15670,5346,8702,24626,71838,9710658,1169118,1311806,2,0,3927432,3170934,1081612,804926,605436,439402,321494,279644,165770,1521116,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,12523824,77685,na,na,na,12321212,na,na,0,544,0,na,na,na,368,1300,80174,241436,1061794,2053452,2379788,1820040,2226022,1916428,485428,53204,1588,na,na,0,11870,1458,1001000,1478446,1876738,6019828,1904242,24086,98,0,1366,4214,20358564,8769428,0,36046,0,0,20557990,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3160,4396956,888036,671488,309704,755774,1834066,2934996,486330,40416,0,na,na
18,pos,270096,na,2130706432,na,0,0,0,0,41584,2219206,10225612,9253532,4287402,1303618,182624,2448,10273724,4652,0,0,392164,595478,22579108,19408782,4922928,3328756,0,0,0,0,1342,132,0,0,0,0,0,0,116,5391712,22124198,0,855688,276920,306448,1326056,22144560,2606354,0,0,0,0,11130556,6830274,2820824,1951526,1274584,848672,643396,951112,829630,235452,27895840,6228,3112,1152,0,10273724,313592,1498912,3419146,273200,263120,224860,229540,180940,199100,217040,219120,10580,270095.24,27895840,27895840,27993832,162561,8764,112976,51560,27516026,1209600,0,na,na,na,17085180.48,6817619.52,3594209.28,8146,12856,1428,252852,3803742,10951482,8607334,3432258,431122,32152,3618,38,na,0,27895840,na,12258,2880,6927994,4281252,9300704,6987050,3888,0,0,0,na,na,na,na,na,na,na,na,na,1922,34,0,0,380,533206,0,0,0,0,159044,16066,4316,0,0,70080,10324,19813440,2054216,0,0,0,0,0,4748.6,5526,10506564,4268290,3492032,1500852,2749530,3923980,712076,341244,21458,0,0,0
19,pos,1065426,na,na,na,0,0,0,0,0,91098,5213772,32139160,31064492,4371722,54078,2,28735436,238240,0,na,118864,272080,54168086,40047472,22791528,11705068,na,0,16000,0,0,0,0,0,0,0,0,28068,36845508,26188010,9872738,0,85528,53260,121612,201748,7727378,62906934,1837816,44,2,2,24633936,13200042,4518226,3496222,3279770,6309288,14811728,2680126,4986,0,77100370,na,na,9154,7048,28735436,1220662,10318904,12390776,374820,389400,380180,396220,406160,399100,419260,351740,171280,1065426.14,77100370,77100370,74967954,551878,na,na,642580,72934324,1209600,0,na,na,na,63784404.48,0,9005150.4,0,0,0,6312,818996,14823404,33445696,20356916,2881828,509644,88678,2850,na,na,77100370,na,93872,21512,5235246,3364998,12136666,46878224,5058278,145514,14,0,na,na,na,na,na,na,na,na,na,73172,na,na,na,na,na,na,na,na,na,843696,na,na,na,na,na,na,na,na,na,na,na,na,na,39323.72,53518,9519136,15986786,11725376,5363040,9238274,6474852,5175890,3472124,5895940,82906,na,na
20,pos,1040396,na,na,na,na,na,0,0,64220,914024,7102612,13285400,8124502,1845296,152912,13180,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,12286,4297366,27192494,0,13492,13104,70890,166828,21385574,9852258,0,0,0,0,7365412,16978920,3217252,1170030,600194,422698,416752,893644,210028,227216,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,31937598,122985,na,na,na,31502146,na,na,na,na,na,na,na,na,74752,na,0,178660,691904,2032376,8610896,12828194,5487118,1556352,112248,4398,na,na,na,na,14366,3016,5332438,7625658,5428508,12437360,644068,16728,4,0,370,7426,14254000,5080592,0,76662,0,0,14938564,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.2,0,15622958,3704916,2204364,657430,1081464,1435594,2582784,4201918,10718,0,na,na
21,pos,570588,na,na,14648,na,na,228,187392,2989054,9494510,15821810,19437214,7688802,1494602,155244,1652,17896614,6772,0,na,3886844,6900454,33423886,28113610,21918984,8564540,na,0,0,0,na,na,0,0,0,0,0,0,1810646,24007496,31452362,4,107164,73948,128288,198824,5821610,50940600,66,0,0,8,18441214,20411988,6105322,3821624,2491154,1779578,1455656,1847958,805328,110686,59231288,na,na,na,na,17896614,834122,5582416,16303424,204920,262500,539780,529840,515640,460920,459000,434200,418720,570587.85,59231288,59231288,59606632,296165,na,na,1120380,57270508,1209600,na,2282,212,0,40932695.04,7025.28,16325189.76,2116,9696,364030,4932396,10734072,17838610,15972918,6952424,443740,29102,3188,28,226,na,59231288,na,22182,4774,1610912,14397642,4703790,36261436,269748,24,0,0,19648,60594,27340406,3443336,2924,53384,0,0,29042982,na,na,na,na,na,na,na,na,na,na,515924,na,na,na,na,na,na,na,na,na,na,na,na,na,9543.62,12196,16946988,15558142,7008642,2293064,3817788,5975738,3981364,1586944,101830,8,na,na
22,pos,278498,na,1648,1248,0,0,0,1096,191166,2027984,5149866,7895420,3783992,659856,70952,0,8997246,0,7032,na,794988,1185196,16892672,15511224,4141712,1789820,4,0,0,0,3648,782,0,0,0,0,0,0,0,2778260,17002072,0,67494,37292,47778,58888,584230,18973908,8242,2492,4,4,6224222,5226788,2832234,1848150,1043424,703192,591052,670130,363522,277618,21831942,10864,13044,7400,10,8997246,282856,1616610,2517460,221640,207360,236600,256360,277520,282020,249860,237880,5140,278498.38,21831942,21831942,21884184,127438,1918,na,29560,19780332,1209600,440214,0,894,0,13977333.12,4259198.4,1534409.28,na,na,18608,1089804,3311004,6613108,6500726,2076062,148310,20326,2384,0,1850,2818,21831942,na,19250,4654,3859240,1244488,5810884,8429180,13882,358842,39912,0,2312,948,12357282,6156014,150,148908,0,0,12562758,12508,4286,na,na,na,na,na,na,na,na,171006,73230,23782,0,0,517724,87682,82400,9290,0,0,0,0,na,na,na,5904868,2111634,1194440,508394,1092626,1095150,1986518,5532058,352358,2286,0,0
23,pos,1313722,na,na,378,0,0,0,0,238,1293854,5530584,5365826,1187110,41270,1752,0,33842952,44162,0,na,6196044,8275736,66905958,64485760,17545910,6138572,8,0,0,0,44120,13386,0,0,0,0,0,0,19412,5292832,8108390,0,73690,39088,39218,68822,9855834,3343982,0,0,0,0,1531312,2720578,2290962,1565374,1278318,976446,722972,596394,404310,1333968,90671386,67882,80212,64630,3864,33842952,868396,8258952,9250220,247000,189800,181620,200620,209500,216480,307040,267380,207080,1313721.15,90671386,90671386,14458588,81232,6826,na,955740,13420634,1209600,2424882,2390,240,0,71625209.28,0.0,11132028.48,1910,6126,0,80980,2225774,4392588,4526576,1928034,234084,29560,3038,0,120,4060,90671386,na,19120,4146,1013866,664038,2012274,8475902,1209344,21944,0,0,402,7114,10481126,4916646,30,15054,0,0,10717504,166666,7916,na,na,na,na,na,na,na,na,585056,388652,108494,0,0,2824588,433118,461360,96204,0,0,0,0,na,9934.08,7544,1871346,2031202,1074826,440432,1186182,3842402,2277606,620916,75722,0,0,0
